Question,Correct Answer,Answer 2,Answer 3,Answer 4
Which movie won the Academy Award for Best Picture in 2018?,Green Book,Black Panther,A Star is Born,The Lion King
Which movie won the Academy Award for Best Picture in 2019?,Parasite,Joker,Avengers: Endgame,Aladdin
Which movie won the Academy Award for Best Picture in 2020?,Nomadland,The Father,The Eight Hundred,Tenet
Which movie won the Academy Award for Best Picture in 2021?,CODA,Dune,Dunkirk,No Time to Die
Which is the highest worldwide grossing film in 2000?,Mission: Impossible II,Gladiator,The Sixth Sense,Shrek
Which is the highest worldwide grossing film in 2001?,Harry Potter & the Sorcerers Stone,LOTR: The Fellowship of the Ring,Shrek,Spirited Away
Which is the highest worldwide grossing film in 2002?,LOTR: The Two Towers,Harry Potter & the Chamber of Secrets,LOTR: The Fellowship of the Ring,Finding Nemo
Which is the highest worldwide grossing film in 2003?,LOTr: The Return of the King,Finding Nemo,LOTR: The Fellowship of the Ring,LOTR: The Two Towers
Which is the highest worldwide grossing film in 2004?,Shrek 2,Harry Potter & the Prisoner of Azkaban,Spider-Man 2,Harry Potter & the Chamber of Secrets
Which is the highest worldwide grossing film in 2005?,Harry Potter & the Goblet of Fire,Star Wars: Ep 3 - Revenge of the Sith,Harry Potter & the Order of the Phoenix,Spider-Man 2
Which is the highest worldwide grossing film in 2006?,Pirates of the Caribbean: Dead Man's Chest,Night at the Museum,Pirates of the Caribbean: At World's End,The Dark Knight
Which is the highest worldwide grossing film in 2007?,Pirates of the Caribbean: At World's End,Harry Potter & the Order of the Phoenix,Transformers,Pirates of the Caribbean: Dead Man's Chest
Which is the highest worldwide grossing film in 2008?,The Dark Knight,Iron Man,Toy Story 3,Avatar
Which is the highest worldwide grossing film in 2009?,Avatar,Harry Potter & the Half-Blood Prince,Up,Iron Man 2
Which is the highest worldwide grossing film in 2010?,Toy Story 3,Harry Potter & the Deathly Hallows 1,Iron Man 2,Up
Which is the highest worldwide grossing film in 2011?,Harry Potter & the Deathly Hallows 2,Thor,Frozen,Skyfall
Which is the highest worldwide grossing film in 2012?,The Avengers,Skyfall,The Dark Knight Rises,Twilight: Breaking Dawn Part 2
Which is the highest worldwide grossing film in 2013?,Frozen,Iron Man 3,Despicable Me 2,World War Z
Which is the highest worldwide grossing film in 2014?,Transformers: Age of Extinction,Captain America: The Winter Soldier,Big Hero 6,Guardians of the Galaxy
Which is the highest worldwide grossing film in 2015?,Star Wars: Ep 7 - The Force Awakens,Furious 7,Jurassic World,Avengers: Age of Ultron
Which is the highest worldwide grossing film in 2016?,Captain America: Civil War,Finding Dory,Zootopia,Deadpool
Which is the highest worldwide grossing film in 2017?,Star Wars: Ep 8 - The Last Jedi,The Fate of the Furious,Spider-Man: Homecoming,Wonder Woman
Which is the highest worldwide grossing film in 2018?,Avengers: Infinity War,Black Panther,incredibles 2,Aquaman
Which is the highest worldwide grossing film in 2019?,Avengers: Endgame,The Lion King,Frozen 2,Toy Story 4
Which is the highest worldwide grossing film in 2020?,The Eight Hundred,Tenet,Sonic the Hedgehog,Onward
Which is the highest worldwide grossing film in 2021?,Spider-Man: No Way Home,No Time to Die,Black Widow,Venom: Let There Be Carnage
Where does the code in The Matrix come from?,Sushi Recipes,Nowhere - It is made up,Random foreign letters,Script of scene in Japanese
Who drew the drawing of Rose in Titanic?,James Cameron,Leonardo DiCaprio,Kate Winslet,Kathy Bates
Who is the voice of Joy in Pixar's Inside Out?,Amy Poehler,Phyllis Smith,Mindy Kaling,Diane Lane
Where were the original Lord of the Ring movies filmed?,New Zealand,Iceland,Ireland,Scottland
Freddy Kriueger wears a sweater that contains which colors?,Red & Green,Red & Brown,Red & Orange,Red & Black
Who was the director of the 2017 hit film Get Out?,Jordan Peele,Keegan-Michael Key,James Wan,John Carpenter
Which Marvel movie comes first chronologically?,Captian America: The First Avenger,Iron Man,Captain Marvel,Hulk
What is the name of the camp where counselors are terrorized by someone on Friday the 13th?,Camp Crystal Lake,Camp Diamond Lake,Camp Nightwing,Camp Bloodbath
"What is the actual name of the dog, nicknamed ""The Beast,"" in The Sandlot?",Hercules,Zeus,Hades,Kratos
Which is not a core rule for handling a Mogwai?,Do not let it out of its cage,Do not feed it after midnight,Do not expose it to bright lights,Do not let it get wet
Which is the first film adaptation of a Stephen King novel?,Carrie,The Shinning,I.T.,Pet Sematary
How old was the actor who voiced Boo in Monster Inc. at the time of production?,Two and a half,Three,Four,Three and a half
"in The Ring, how long do people have to live after watching the VHS tape?",7 Days,5 Days,3 Days,10 Days
Which actor plays Private Ryan in Saving Private Ryan?,Matt Damon,Tom Hanks,Vin Disel,Edward Burns
What year did the first Die Hard movie come out?,1988,1990,1987,1994
When did the first Mission Impossible move come out?,1996,1992,1999,1998
What is the correct spelling of this horror-comedy film?,Betelgeuse,Bettlejuice,Beetlejuice,Betelguese
"Complete the phrase: ""Hello, my name is Inigo montoya. You killed my father. _____""",Prepare to die.,How dare you?,Prepare to pay!,I will avenge him.
"Count Tyrone Rugen, from The Princess Bride,  is also known as: ",The Six-Fingered Man,The One-Handed man,The Four-Fingered Man,Man with no hands
How many arms/legs does the little blue monster from Lilo & Stitch have?,6,2,4,8
